insert_time,xpath,datatype,group_lv1,group_lv2,sub_xpath,value
202207142000,div[3]/div/div[5]/ul/li[4]/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li[4],/a/img,
202207142000,div[3]/div/div[5]/ul/li[4]/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li[4],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2021/08/gbt/getImage_04.jpg&v=610b475bk&w=&h=
202207142000,div[3]/div/div[5]/ul/li[4]/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li[4],/a/img,
202207142000,div[3]/div/div[5]/ul/li[5]/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li[5],/a,https://activity.books.com.tw/books66/?loc=activity_BK_001
202207142000,div[3]/div/div[5]/ul/li[5]/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li[5],/a,
202207142000,div[3]/div/div[5]/ul/li[5]/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li[5],/a/img,今日66折
202207142000,div[3]/div/div[5]/ul/li[5]/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li[5],/a/img,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2021/08/gbt/getImage_05.jpg&v=610b475bk&w=&h=
202207142000,div[3]/div/div[5]/ul/li[5]/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li[5],/a/img,
202207142000,div[3]/div/div[5]/ul/li[6]/a,href,div[3]/div/div[5],div[3]/div/div[5]/ul/li[6],/a,https://www.books.com.tw/happybuy?loc=activity_NP_001
202207142000,div[3]/div/div[5]/ul/li[6]/a,text,div[3]/div/div[5],div[3]/div/div[5]/ul/li[6],/a,
202207142000,div[3]/div/div[5]/ul/li[6]/a/img,alt,div[3]/div/div[5],div[3]/div/div[5]/ul/li[6],/a/img,天天BUY
202207142000,div[3]/div/div[5]/ul/li[6]/a/img,src,div[3]/div/div[5],div[3]/div/div[5]/ul/li[6],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2021/08/gbt/getImage_06.jpg&v=610b475bk&w=&h=
202207142000,div[3]/div/div[5]/ul/li[6]/a/img,title,div[3]/div/div[5],div[3]/div/div[5]/ul/li[6],/a/img,
202207142000,div[3]/div/div[6]/div/div/a,href,div[3]/div/div[6]/div/div,,a,https://www.books.com.tw/#accesskey_books_nav
202207142000,div[3]/div/div[6]/div/div/a,innerHTML,div[3]/div/div[6]/div/div,,a,:::全站分類
202207142000,div[3]/div/div[6]/div/div/a,text,div[3]/div/div[6]/div/div,,a,:::全站分類
202207142000,div[3]/div/div[6]/div/div/div,class,div[3]/div/div[6]/div/div/div,,,
202207142000,div[3]/div/div[6]/div/div/div,text,div[3]/div/div[6]/div/div/div,,,移動滑鼠展開全站分類
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div/a,href,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div/a,https://www.books.com.tw/web/flagship_0000003614?loc=P_fmenu_1_1_001
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div/a,text,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div/a,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div/a/img,alt,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div/a/img,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div/a/img,src,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/fashion/muji/2020/MUJI_logo_600600.jpg&v=5f1182d3
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div/a/img,title,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div/a/img,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div[2]/h2/a,href,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div[2]/h2/a,https://www.books.com.tw/web/flagship_0000003614?loc=P_fmenu_1_1_001
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div[2]/h2/a,innerHTML,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div[2]/h2/a,MUJI<br>無印良品
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div/div/div[2]/h2/a,text,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div/div/div[2]/h2/a,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div/a,href,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div/a,https://www.books.com.tw/web/flagship_0000021794?loc=P_fmenu_1_7_002
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div/a,text,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div/a,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div/a/img,alt,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div/a/img,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div/a/img,src,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div/a/img,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/lifestyle/B/2021/12/zong_logo.jpg&v=61c53cb6
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div/a/img,title,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div/a/img,
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div[2]/h2/a,href,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div[2]/h2/a,https://www.books.com.tw/web/flagship_0000021794?loc=P_fmenu_1_7_002
202207142000,div[3]/div/div[6]/div/div/div[2]/ul/li/div/div/div/div[10]/div/div[2]/h2/a,innerHTML,div[3]/div/div[6]/div/div/div[2],div[3]/div/div[6]/div/div/div[2]/ul,/li/div/div/div/div[10]/div/div[2]/h2/a,聖德科斯
